"Display ID","ID","Last Name","First Name","grade","Submission Date","Late Submission"
"32312288_32312288_UTEW221V_1","32312288_32312288_UTEW221V_1","","","68","",""
39327728_39327728_UTEW221V_1,39327728_39327728_UTEW221V_1,,,90,,
32770693_UTEW 221_GROUP ASS_ 1...,32770693_UTEW 221_GROUP ASS_ 1...,,,84,,
40910415_40910415_ UTEW 221V_1,40910415_40910415_ UTEW 221V_1,,,82,,
40910504_ASSIGNMENT 1- UTEW,40910504_ASSIGNMENT 1- UTEW,,,82,,
42617812_ASSIGNMENT1_UTEW 221,42617812_ASSIGNMENT1_UTEW 221,,,63,,
40306348_40306348_UTEW221V_1,40306348_40306348_UTEW221V_1,,,63,,
40243974_40243974_UTEW 221V_1,40243974_40243974_UTEW 221V_1,,,90,,
41285069_41285069_UTEW221V_1,41285069_41285069_UTEW221V_1,,,75,,
42677998_42677998_UTEW221V_1.,42677998_42677998_UTEW221V_1.,,,27,,
44402082_44402082_UTEW221V_1,44402082_44402082_UTEW221V_1,,,0,,
43558267_43558267_UTEW221V_1,43558267_43558267_UTEW221V_1,,,82,,
39167038_39167038_UTEW221V_1,39167038_39167038_UTEW221V_1,,,82,,
37234129_37234129_UTEW221V_1,37234129_37234129_UTEW221V_1,,,70,,
29070775_40111059_ UTEW221V_1,29070775_40111059_ UTEW221V_1,,,68,,
34940723_34940734_MOENG_UTEW 221V_ASSIGMENT 1,34940723_34940734_MOENG_UTEW 221V_ASSIGMENT 1,,,55,,
37156780_UTEW221 Online Exhibition,37156780_UTEW221 Online Exhibition,,,55,,
38724278_38724278_UTEW221V_1 (1),38724278_38724278_UTEW221V_1 (1),,,90,,
41084764_41084764_UTEW221V_1,41084764_41084764_UTEW221V_1,,,68,,
44930712_44930712_UTEW_221V_1,44930712_44930712_UTEW_221V_1,,,92,,
36629316_36629316_UTEW221V_1,36629316_36629316_UTEW221V_1,,,30,,
42631890_42631890_UTEW221V,42631890_42631890_UTEW221V,,,38,,
38189143_38189143_UTEW221V_1- (1),38189143_38189143_UTEW221V_1- (1),,,75,,
32078552_UTEW221_Assignment1_Vaal campus,32078552_UTEW221_Assignment1_Vaal campus,,,82,,
40903567_40903567_UTEW221V_1,40903567_40903567_UTEW221V_1,,,25,,
37790358_37790358_UTEW221V_1,37790358_37790358_UTEW221V_1,,,60,,
37441167_37441167_UTEW221V_1,37441167_37441167_UTEW221V_1,,,92,,
37715739_utew221_ groupassignment1,37715739_utew221_ groupassignment1,,,90,,
43010547_43010547_UTEW221V_1,43010547_43010547_UTEW221V_1,,,68,,
38087170_38087170_UTEW221V_1+1,38087170_38087170_UTEW221V_1+1,,,69,,
33286493_UTEW Assignment,33286493_UTEW Assignment,,,30,,
38609258_38609258_UTEW221V_1,38609258_38609258_UTEW221V_1,,,82,,
38259397_38259397_UTEW221V_1,38259397_38259397_UTEW221V_1,,,84,,
41668154_41668154_UTEW221V_1,41668154_41668154_UTEW221V_1,,,90,,
39924467_39924467_UTEW221V_1,39924467_39924467_UTEW221V_1,,,90,,
39286738_39286738_ UTEW221V_1,39286738_39286738_ UTEW221V_1,,,75,,
40902048_40902048_UTEW221V_1,40902048_40902048_UTEW221V_1,,,84,,
42925894_42925894_UTEW221V_1+1,42925894_42925894_UTEW221V_1+1,,,0,,
40877035_40877035_UTEW221V_1,40877035_40877035_UTEW221V_1,,,82,,
35439009_UTEW ASSIGNMENT FINAL---,35439009_UTEW ASSIGNMENT FINAL---,,,75,,
37350080_37350080_UTEW221V,37350080_37350080_UTEW221V,,,82,,
41698665_38712628_UTEW221V,41698665_38712628_UTEW221V,,,75,,
40799999_40799999_UTEW221V_1,40799999_40799999_UTEW221V_1,,,75,,
41006348_41006348_UTEW 221V_1,41006348_41006348_UTEW 221V_1,,,82,,
40780120_40780120_UTEW221V_1,40780120_40780120_UTEW221V_1,,,75,,
30189926_30189926_UTEW221_V,30189926_30189926_UTEW221_V,,,60,,
41136543_41136543_ UTEW221V_1,41136543_41136543_ UTEW221V_1,,,82,,
41450590_41450590_UTEW221V_1,41450590_41450590_UTEW221V_1,,,90,,
40747956_40747959_UTEW221V_1,40747956_40747959_UTEW221V_1,,,63,,
41359550_41359550_UTEW221V,41359550_41359550_UTEW221V,,,15,,
39197298_39197298_UTEW 221 V,39197298_39197298_UTEW 221 V,,,68,,
41195442_UTEW  group assigment Shongwe B.H 41195442,41195442_UTEW  group assigment Shongwe B.H 41195442,,,82,,
40939073_40939073_UTEW221V_1,40939073_40939073_UTEW221V_1,,,54,,
37261363_UTEW assignment,37261363_UTEW assignment,,,82,,
40304523_40304523_UTEW221V_1,40304523_40304523_UTEW221V_1,,,75,,
40735915_UTEW221_ASSIGNMENT1,40735915_UTEW221_ASSIGNMENT1,,,68,,
33708363_33708363_UTEW221V_1,33708363_33708363_UTEW221V_1,,,82,,
38267330_UTEW221  ASSIGNMENT 1 R.KHANYILE 38267330,38267330_UTEW221  ASSIGNMENT 1 R.KHANYILE 38267330,,,68,,
38589729_38589729_UTEW221V_1,38589729_38589729_UTEW221V_1,,,100,,
37270230_UTEW_assignment,37270230_UTEW_assignment,,,82,,
39860132_39860132_ UTEW221V_1,39860132_39860132_ UTEW221V_1,,,82,,
40906019_40906019_UTEW221V_1,40906019_40906019_UTEW221V_1,,,82,,
40826554_40826554_UTEW221V_,40826554_40826554_UTEW221V_,,,34,,
39643719_39643719_UTEW221_V,39643719_39643719_UTEW221_V,,,82,,
44977824_MOTIVATION,44977824_MOTIVATION,,,30,,
38559358_ASSIGNMENT1_PROPOSAL_UTEW221V,38559358_ASSIGNMENT1_PROPOSAL_UTEW221V,,,55,,
24602612_24602612_UTEW 221V_1 (1),24602612_24602612_UTEW 221V_1 (1),,,55,,
38577720_38577720_UTEW221V_1,38577720_38577720_UTEW221V_1,,,75,,
35743743_utew assignment 1_230924_20320,35743743_utew assignment 1_230924_20320,,,100,,
39860124_39860124_UTEW221V_1,39860124_39860124_UTEW221V_1,,,40,,
38497840_38497840_UTEW221V_1,38497840_38497840_UTEW221V_1,,,0,,
41617150_ilovepdf_merged (2),41617150_ilovepdf_merged (2),,,63,,
